Company,Quarters,Closing Stock Price,Enterprise Value,Oil Price,Change in Oil Price,CPI,Inflation,Net Income,Consumption of Raw Materials,Purchase of Traded Goods,Cost of Goods Sold,Gross Revenue,EXPENDITURE,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depriciation,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,Other Income,EBIT,Interest,P/L Before Exceptional Items & Tax,Exceptional Items,EBT,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,PAT,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),Basic EPS Before Extra Ordinary,Ratios
Heritage Foods,Jun '14,150.93,865.97,6471.05,0.108874872,116.7,0.068,505.77,314.43,101.54,415.97,89.8,79.88,-2.72,0,27.16,8.17,0,0,0,0,0,47.27,1,10.92,4.3,6.62,0,6.62,1.32,5.3,0,0,5.3,23.2,0,0,2.28,
CCL Products India Ltd.,Mar '20,212.10,2732.9,2392.98,-0.198991786,148.6,0.058,170.24,87.53,0,87.53,82.71,42.07,-30.47,0,16.59,6.47,0,0,0,0,0,49.48,75.11,115.75,4.27,111.48,0,111.48,15.04,96.44,0,0,96.44,26.61,0,0,7.25,
CCL Products India Ltd.,Dec '19,201.25,2732.9,4509.77,0.884583239,150.4,0.074,224.02,95.76,0,95.76,128.26,66.47,6.96,0,11.44,6.35,0,0,0,0,0,41.72,0.03,61.82,3.86,57.96,0,57.96,21.88,36.08,0,0,36.08,26.61,0,0,2.71,
CCL Products India Ltd.,Sep '19,239.40,2732.9,4282.87,-0.050312987,145.8,0.04,222.31,130.71,0,130.71,91.6,60.41,-9.03,0,11.56,6.89,0,0,0,0,0,50.99,0.03,31.22,4.64,26.58,0,26.58,2.42,24.16,0,0,24.16,26.61,0,0,1.82,
CCL Products India Ltd.,Jun '19,255.85,2732.9,4149.67,-0.03110064,142.9,0.032,206.08,104.1,0,104.1,101.98,54.31,3.28,0,10.46,5.72,0,0,0,0,0,34.85,58.78,106.45,4.14,102.31,0,102.31,20.06,82.25,0,0,82.25,26.61,0,0,6.18,
CCL Products India Ltd.,Mar '19,284.50,4106.77,4432.04,0.068046375,140.4,0.029,195.78,94.25,0,94.25,101.53,68,16.06,0,10.42,3.07,0,0,0,0,0,38.45,29.53,63.06,2.51,60.55,0,60.55,11.25,49.3,0,0,49.3,26.61,0,0,3.71,
CCL Products India Ltd.,Dec '18,270.25,4106.77,3822.07,-0.137627368,140.1,0.021,180.96,101.45,0,101.45,79.51,42.11,-3.06,0,11.34,3.07,0,0,0,0,0,30.76,0.16,37.56,2.97,34.59,0,34.59,10.77,23.82,0,0,23.82,26.61,0,0,1.79,
CCL Products India Ltd.,Sep '18,251.45,4106.77,5448.55,0.425549506,140.2,0.037,213.95,116.11,0,116.11,97.84,48.38,0.59,0,10.37,3.09,0,0,0,0,0,34.33,0.24,49.7,3.14,46.56,0,46.56,18.4,28.16,0,0,28.16,26.61,0,0,2.12,
CCL Products India Ltd.,Jun '18,271.30,4106.77,4879.75,-0.104394747,138.5,0.049,218.44,147.66,0,147.66,70.78,31.82,-13.56,0,9.25,2.99,0,0,0,0,0,33.14,0.25,39.21,2.35,36.86,0,36.86,12.73,24.13,0,0,24.13,26.61,0,0,1.81,
CCL Products India Ltd.,Mar '18,278.35,4003.17,4171.72,-0.145095548,136.5,0.043,224.8,141.61,0,141.61,83.19,44.37,0.59,0,10.38,2.86,0,0,0,0,0,30.54,0.88,39.7,1.78,37.92,0,37.92,14.51,23.41,0,0,23.41,26.61,0,0,1.76,
CCL Products India Ltd.,Dec '17,299.30,4003.17,3930.99,-0.057705215,137.2,0.052,203.62,121.95,0,121.95,81.67,38.28,-4.88,0,9.51,2.81,0,0,0,0,0,30.84,0.39,43.78,1.56,42.22,0,42.22,14.17,28.05,0,0,28.05,26.61,0,0,2.11,
CCL Products India Ltd.,Sep '17,306.85,4003.17,3413.19,-0.131722543,135.2,0.033,216.69,137.39,0,137.39,79.3,38.49,-6.61,0,9.13,2.8,0,0,0,0,0,33.17,0.25,41.06,1.71,39.35,0,39.35,13.68,25.67,0,0,25.67,26.61,0,0,1.93,
CCL Products India Ltd.,Jun '17,292.75,4003.17,2975.01,-0.128378438,132,0.015,178.22,113.08,0,113.08,65.14,34.73,-5.87,0,8.23,2.75,0,0,0,0,0,29.62,2.49,32.9,1.15,31.75,0,31.75,11.13,20.62,0,0,20.62,26.61,0,0,1.55,
CCL Products India Ltd.,Mar '17,342.30,4646.44,3355.09,0.127757554,130.9,0.039,208.3,112.01,0,112.01,96.29,49.21,1.85,0,8.8,2.7,0,0,0,0,0,35.86,0.25,47.33,2.93,44.4,0,44.4,17.46,26.94,0,0,26.94,26.61,0,0,2.03,
CCL Products India Ltd.,Dec '16,266.55,4646.44,3572.84,0.064901389,130.4,0.034,225.81,109.48,0,109.48,116.33,57.1,3.33,9.48,12.17,2.71,0,0,0,0,0,29.41,0.19,59.42,1.18,58.24,0,58.24,20.33,37.91,0,0,37.91,26.61,0,0,2.85,
CCL Products India Ltd.,Sep '16,260.90,4646.44,3006.05,-0.158638506,130.9,0.044,100.01,58.22,0,58.22,41.79,26.56,-1.42,4.71,5.32,2.79,0,0,0,0,0,15.16,0.36,15.59,1.11,14.48,0,14.48,5.3,9.18,0,0,9.18,26.61,0,0,0.69,
CCL Products India Ltd.,Jun '16,248.40,4646.44,3208.66,0.067400742,130.1,0.058,173.26,105.03,0,105.03,68.23,31.1,-8.02,8.72,7.23,2.46,0,0,0,0,0,20.71,0.38,37.51,1.6,35.91,0,35.91,11.21,24.7,0,0,24.7,26.61,0,0,1.86,
CCL Products India Ltd.,Mar '16,195.05,2705.33,2503.95,-0.219627508,126,0.048,180.38,96.02,0,96.02,84.36,48.34,8.12,8.48,7.91,2.47,0,0,0,0,0,21.36,0.27,36.29,1.16,35.13,0,35.13,13.55,21.58,0,0,21.58,26.61,0,0,1.62,
CCL Products India Ltd.,Dec '15,218.00,2705.33,2435.4,-0.027376745,126.1,0.056,160.88,93.81,0,93.81,67.07,36.76,-0.66,9.42,6.8,2.5,0,0,0,0,0,18.7,0.18,30.49,1.06,29.43,0,29.43,10.47,18.96,0,0,18.96,26.61,0,0,1.43,
CCL Products India Ltd.,Sep '15,234.85,2705.33,3064.43,0.258286113,125.4,0.044,178.09,111.39,0,111.39,66.7,33.94,-4.45,8.6,6.48,2.53,0,0,0,0,0,20.78,0.29,33.05,1.18,31.87,0,31.87,10.68,21.19,0,0,21.19,26.61,0,0,1.59,
CCL Products India Ltd.,Jun '15,181.05,2705.33,3915.3,0.27766012,123,0.054,157.84,94.24,0,94.24,63.6,33,2.16,6.01,5.78,2.33,0,0,0,0,0,16.72,0.13,30.73,0.89,29.84,0,29.84,9.62,20.22,0,0,20.22,26.61,0,0,1.52,
CCL Products India Ltd.,Mar '15,178.60,2466.16,3299.23,-0.157349373,120.2,0.053,172.8,102.58,0,102.58,70.22,40,1.86,8.58,6.63,2.34,0,0,0,0,0,20.59,0,30.22,1.38,28.84,0,28.84,10.81,18.03,0,0,18.03,26.61,0,0,1.35,
CCL Products India Ltd.,Dec '14,166.00,2466.16,3806.55,0.153769213,119.4,0.043,171.22,105.66,0,105.66,65.56,35.13,-3.64,9.76,5.91,2.34,0,0,0,0,0,20.76,0.56,30.99,1.21,29.78,0,29.78,10.29,19.49,0,0,19.49,26.61,0,0,1.46,
CCL Products India Ltd.,Sep '14,114.15,2466.16,5835.69,0.533065374,120.1,0.056,195.35,118.82,0,118.82,76.53,41.48,5.01,10.34,5.63,2.37,0,0,0,0,0,18.13,0.39,35.44,1.19,34.25,0,34.25,12.8,21.45,0,0,21.45,26.61,0,0,1.61,
CCL Products India Ltd.,Jun '14,69.10,2466.16,6471.05,0.108874872,116.7,0.068,132.6,84.08,0,84.08,48.52,25.67,-2.68,7.85,5.07,2.41,0,0,0,0,0,13.02,0.38,23.23,1.85,21.38,0,21.38,5.68,15.7,0,0,15.7,26.61,0,0,1.18,
Gillette India,Mar '20,4836.05,24230.87,2392.98,-0.198991786,148.6,0.058,406.57,93.69,109.82,203.51,203.06,135.55,-23.37,0,29.65,12.93,0,51.69,0,0,0,64.65,3.61,71.12,0.37,70.75,0,70.75,18.37,52.38,0,0,52.38,32.59,0,0,16.07,
Gillette India,Dec '19,6580.40,24230.87,4509.77,0.884583239,150.4,0.074,459.31,9.79,188.62,198.41,260.9,173.47,-13.76,0,27.51,12.52,0,73.24,0,0,0,73.96,4.37,91.8,1.88,89.92,0,89.92,18.85,71.07,0,0,71.07,32.59,0,0,21.81,
Gillette India,Sep '19,7096.15,24230.87,4282.87,-0.050312987,145.8,0.04,462.2,82.33,153.82,236.15,226.05,140.33,-22.52,0,32.74,12.19,0,65.85,0,0,0,52.07,1.68,87.4,0.8,86.6,0,86.6,24.84,61.76,0,0,61.76,32.59,0,0,18.95,
Gillette India,Jun '19,7478.55,24230.87,4149.67,-0.03110064,142.9,0.032,463.97,61.38,139.06,200.44,263.53,246.23,29.98,0,26.07,12.69,0,50.62,0,0,0,126.87,2.42,19.72,3.92,15.8,0,15.8,-30.02,45.82,0,0,45.82,32.59,0,0,14.07,
Gillette India,Mar '19,6564.65,20754.43,4432.04,0.068046375,140.4,0.029,465.51,52.41,119.59,172,293.51,159.39,22.27,0,25.14,12.04,0,29.93,0,0,0,70.01,3.33,137.45,1.29,136.16,0,136.16,48.4,87.76,0,0,87.76,32.59,0,0,26.93,
Gillette India,Dec '18,6496.70,20754.43,3822.07,-0.137627368,140.1,0.021,475.66,74.95,196.74,271.69,203.97,117.6,-76.93,0,25.04,11.63,0,95.7,0,0,0,62.16,4.05,90.42,1.74,88.68,0,88.68,34.69,53.99,0,0,53.99,32.59,0,0,16.56,
Gillette India,Sep '18,6652.50,20754.43,5448.55,0.425549506,140.2,0.037,456.51,44.4,153.08,197.48,259.03,163.52,1.97,0,32.05,11.34,0,54.24,0,0,0,63.92,3.8,99.31,0.9,98.41,0,98.41,33.06,65.35,0,0,65.35,32.59,0,0,20.06,
Gillette India,Jun '18,6440.95,20754.43,4879.75,-0.104394747,138.5,0.049,409.76,29.83,126.34,156.17,253.59,205.59,15.8,0,35.57,11.73,0,53.23,0,0,0,89.26,8.57,56.57,4.12,52.45,0,52.45,17.83,34.62,0,0,34.62,32.59,0,0,10.62,
Gillette India,Mar '18,6539.35,16534.91,4171.72,-0.145095548,136.5,0.043,451.54,28.98,139.65,168.63,282.91,176.29,18.39,0,29.86,11.45,0,61.22,0,0,0,55.37,1.06,107.68,0.84,106.84,0,106.84,35.52,71.32,0,0,71.32,32.59,0,0,21.89,
Gillette India,Dec '17,6779.95,16534.91,3930.99,-0.057705215,137.2,0.052,407.52,47.25,136.87,184.12,223.4,135.41,-15.98,0,24.58,9.93,0,56.89,0,0,0,59.99,2,89.99,1.39,88.6,0,88.6,29.83,58.77,0,0,58.77,32.59,0,0,18.03,
Gillette India,Sep '17,5598.30,16534.91,3413.19,-0.131722543,135.2,0.033,408.03,35.26,128.1,163.36,244.67,147.95,2.65,0,27.92,9.18,0,45.85,0,0,0,62.35,1.12,97.84,1.11,96.73,0,96.73,32.39,64.34,0,0,64.34,32.59,0,0,19.75,
Gillette India,Jun '17,5109.10,16534.91,2975.01,-0.128378438,132,0.015,407.6,81.68,118.58,200.26,207.34,153.63,-20.19,0,19.13,13.51,0,72.54,0,0,0,68.64,4.9,58.61,2.68,55.93,0,55.93,18.26,37.67,0,0,37.67,32.59,0,0,11.56,
Gillette India,Mar '17,4233.75,14371.75,3355.09,0.127757554,130.9,0.039,524.89,111.39,89.22,200.61,324.28,173.14,26.08,0,36.04,8.38,0,51.21,0,0,0,51.43,8.44,159.58,2.05,157.53,0,157.53,51.71,105.82,0,0,105.82,32.59,0,0,32.47,
Gillette India,Dec '16,4286.30,14371.75,3572.84,0.064901389,130.4,0.034,389.38,76.51,122.74,199.25,190.13,124.64,-19.33,0,25.48,8.92,0,51.82,0,0,0,57.75,15.6,81.09,0.93,80.16,0,80.16,25.41,54.75,0,0,54.75,32.59,0,0,16.8,
Gillette India,Sep '16,4326.15,14371.75,3006.05,-0.158638506,130.9,0.044,411.73,103.87,102.45,206.32,205.41,132.51,-6.96,0,29.07,7.54,0,54.8,0,0,0,48.06,8.88,81.78,1.08,80.7,0,80.7,25.86,54.84,0,0,54.84,32.59,0,0,16.83,
Gillette India,Jun '16,4574.70,14371.75,3208.66,0.067400742,130.1,0.058,509.69,137.34,112.57,249.91,259.78,196.46,-1.79,0,23.44,8.52,0,71.81,0,0,0,94.48,7.84,71.16,0.85,70.31,0,70.31,23.41,46.9,0,0,46.9,32.59,0,0,14.4,
Gillette India,Mar '16,4414.65,14697.39,2503.95,-0.219627508,126,0.048,452.78,129.41,106.44,235.85,216.93,119.01,-29.3,0,29.1,7.65,0,61.32,0,0,0,50.24,10.4,108.32,1.52,106.8,0,106.8,38.01,68.79,0,12.28,56.51,32.59,0,0,24.88,
Gillette India,Dec '15,4663.00,14697.39,2435.4,-0.027376745,126.1,0.056,508.38,112.23,111.84,224.07,284.31,213.88,-3.74,0,27.26,6.79,0,96.38,0,0,0,87.19,9.27,79.7,1.99,77.71,0,77.71,25.72,51.99,0,0,51.99,32.59,0,0,15.95,
Gillette India,Sep '15,4840.90,14697.39,3064.43,0.258286113,125.4,0.044,481.73,108.35,101.75,210.1,271.63,227.93,-1.83,0,28.64,7.4,0,109.97,0,0,0,83.75,10.07,53.77,0.42,53.35,0,53.35,20.06,33.29,0,0,33.29,32.59,0,0,10.22,
Gillette India,Jun '15,4565.40,14697.39,3915.3,0.27766012,123,0.054,540.91,91.12,104.59,195.71,345.2,300.41,33.82,0,28.06,7.93,0,112.37,0,0,0,118.23,70.99,115.78,0.28,115.5,0,115.5,42.67,72.83,0,0,72.83,32.59,0,0,22.35,
Gillette India,Mar '15,4808.55,6794.71,3299.23,-0.157349373,120.2,0.053,494.14,105.75,102.21,207.96,286.18,248.17,16.16,0,31.28,10.56,0,116.71,0,0,0,73.46,6.5,44.51,0.63,43.88,0,43.88,13.12,30.76,0,0,30.76,32.59,0,0,9.44,
Gillette India,Dec '14,3283.60,6794.71,3806.55,0.153769213,119.4,0.043,498.47,136.73,99.81,236.54,261.93,207.16,-23.28,0,28.71,11.89,0,115.25,0,0,0,74.59,5.66,60.43,1.34,59.09,0,59.09,22.23,36.86,0,0,36.86,32.59,0,0,11.31,
Gillette India,Sep '14,2778.55,6794.71,5835.69,0.533065374,120.1,0.056,439.98,67.07,147.4,214.47,225.51,211.32,-1.08,0,25.66,8.5,0,87.47,0,0,0,90.77,15.66,29.85,2.4,27.45,0,27.45,9.77,17.68,0,0,17.68,32.59,0,0,5.43,
Gillette India,Jun '14,2136.95,6794.71,6471.05,0.108874872,116.7,0.068,479.72,66.07,139.17,205.24,274.48,256.3,15.92,0,30.92,8.74,0,110.56,0,0,0,90.16,7.05,25.23,-0.1,25.33,0,25.33,8.57,16.76,0,0,16.76,32.59,0,0,5.14,
Globus Spirits Ltd.,Mar '20,93.95,360.6,2392.98,-0.198991786,148.6,0.058,269.54,174.27,0,174.27,95.27,67.65,-18.43,0,7.81,9.59,0,0,0,0,0,68.68,1.75,29.37,4.95,24.42,0,24.42,2.87,21.55,0,0,21.55,28.8,0,0,7.48,
Globus Spirits Ltd.,Dec '19,141.75,360.6,4509.77,0.884583239,150.4,0.074,352.91,197.95,0,197.95,154.96,129.07,13.26,0,7.75,9.51,0,0,0,0,0,98.55,0.58,26.47,6.21,20.26,0,20.26,5.59,14.67,0,0,14.67,28.8,0,0,5.1,
Globus Spirits Ltd.,Sep '19,131.45,360.6,4282.87,-0.050312987,145.8,0.04,271.68,178.9,0,178.9,92.78,70.77,-19.17,0,8.05,9.54,0,0,0,0,0,72.35,1.13,23.14,6.16,16.98,0,16.98,3.31,13.67,0,0,13.67,28.8,0,0,4.74,
Globus Spirits Ltd.,Jun '19,137.60,360.6,4149.67,-0.03110064,142.9,0.032,295.62,187.32,0,187.32,108.3,88.63,-1.4,0,7.5,9.22,0,0,0,0,0,73.31,1.38,21.05,6.2,14.85,0,14.85,5.44,9.41,0,0,9.41,28.8,0,0,3.27,
Globus Spirits Ltd.,Mar '19,138.45,596.95,4432.04,0.068046375,140.4,0.029,270.89,173.24,0,173.24,97.65,79,-4.03,0,6.76,8.84,0,0,0,0,0,67.43,1.92,20.57,6,14.57,0,14.57,0.19,14.38,0,0,14.38,28.8,0,0,5.01,
Globus Spirits Ltd.,Dec '18,166.55,596.95,3822.07,-0.137627368,140.1,0.021,256.78,157.85,0,157.85,98.93,87.14,0,0,6.91,9.13,0,0,0,0,0,71.1,4.11,15.9,6.71,9.19,0,9.19,3.34,5.85,0,0,5.85,28.8,0,0,2.03,
Globus Spirits Ltd.,Sep '18,146.30,596.95,5448.55,0.425549506,140.2,0.037,225.14,129.52,0,129.52,95.62,85.32,4.64,0,6.36,9.13,0,0,0,0,0,65.19,1.16,11.46,7.08,4.38,0,4.38,1.57,2.81,0,0,2.81,28.8,0,0,0.98,
Globus Spirits Ltd.,Jun '18,120.05,596.95,4879.75,-0.104394747,138.5,0.049,231.51,139.89,0,139.89,91.62,74.23,-3.62,0,5.57,9.01,0,0,0,0,0,63.27,0.77,18.16,6.52,11.64,0,11.64,4.09,7.55,0,0,7.55,28.8,0,0,2.62,
Globus Spirits Ltd.,Mar '18,116.85,556.22,4171.72,-0.145095548,136.5,0.043,229.34,131.29,0,131.29,98.05,89.56,-6.5,0,5.73,9.15,0,0,0,0,0,81.18,0.99,9.48,6.67,2.81,0,2.81,1.44,1.37,0,0,1.37,28.8,0,0,0.49,
Globus Spirits Ltd.,Dec '17,162.85,556.22,3930.99,-0.057705215,137.2,0.052,258.3,154.69,0,154.69,103.61,95.74,-4.42,0,5.91,9.05,0,0,0,0,0,85.2,0.74,8.61,6.54,2.07,0,2.07,0.8,1.27,0,0,1.27,28.8,0,0,0.44,
Globus Spirits Ltd.,Sep '17,78.80,556.22,3413.19,-0.131722543,135.2,0.033,224.87,136.56,0,136.56,88.31,79.96,-9.97,0,5.73,9.38,0,0,0,0,0,74.82,2.65,11,6.83,4.17,0,4.17,1.42,2.75,0,0,2.75,28.8,0,0,0.96,
Globus Spirits Ltd.,Jun '17,69.25,556.22,2975.01,-0.128378438,132,0.015,256.5,144.23,0,144.23,112.27,103.8,18.46,0,5.44,8.61,0,0,0,0,0,71.29,1.1,9.57,7.1,2.47,0,2.47,0.9,1.57,0,0,1.57,28.8,0,0,0.54,
Globus Spirits Ltd.,Mar '17,76.25,466.33,3355.09,0.127757554,130.9,0.039,210.67,128.36,0,128.36,82.31,84.36,-3.6,0,5.55,11.17,0,0,0,0,0,71.24,1.45,-0.6,7.46,-8.06,0,-8.06,-8.64,0.58,0,0,0.58,28.8,0,0,0.2,
Globus Spirits Ltd.,Dec '16,88.40,466.33,3572.84,0.064901389,130.4,0.034,220.32,133.51,0,133.51,86.81,79.74,-2.68,0,4.12,9.41,0,0,0,0,0,68.89,1.29,8.36,3.36,5,0,5,2.92,2.08,0,0,2.08,28.8,0,0,0.72,
Globus Spirits Ltd.,Sep '16,110.30,466.33,3006.05,-0.158638506,130.9,0.044,161.86,109.39,0,109.39,52.47,49.88,-12.44,0,3.5,8.74,0,0,0,0,0,50.08,0.74,3.33,3.2,0.13,0,0.13,0.11,0.02,0,0,0.02,28.8,0,0,0.01,
Globus Spirits Ltd.,Jun '16,63.10,466.33,3208.66,0.067400742,130.1,0.058,196.44,106.91,0,106.91,89.53,79.04,8.46,0,3.77,8.78,0,0,0,0,0,58.03,0.95,11.44,3.51,7.93,0,7.93,1.62,6.31,0,0,6.31,28.8,0,0,2.2,
Globus Spirits Ltd.,Mar '16,65.30,390.77,2503.95,-0.219627508,126,0.048,190.98,111.44,0,111.44,79.54,72.6,-0.65,0,3.9,15.08,0,0,0,0,0,54.27,1.45,8.39,4.06,4.33,0,4.33,0.02,4.31,0,0,4.31,28.8,0,0,1.5,
Globus Spirits Ltd.,Dec '15,77.70,390.77,2435.4,-0.027376745,126.1,0.056,196.66,111.73,0,111.73,84.93,76.29,2.42,0,3.88,10.09,0,0,0,0,0,59.9,0.41,9.05,4.63,4.42,0,4.42,0.93,3.49,0,0,3.49,28.8,0,0,1.21,
Globus Spirits Ltd.,Sep '15,59.50,390.77,3064.43,0.258286113,125.4,0.044,161.83,96.21,0,96.21,65.62,60.71,-3.12,0,4.08,8.42,0,0,0,0,0,51.33,1.11,6.02,4.66,1.36,0,1.36,0.1,1.26,0,0,1.26,28.8,0,0,0.44,
Globus Spirits Ltd.,Jun '15,50.80,390.77,3915.3,0.27766012,123,0.054,157.75,88.63,0,88.63,69.12,61.86,3.74,0,3.94,8.57,0,0,0,0,0,45.61,0.84,8.1,3.51,4.59,0,4.59,1.13,3.46,0,0,3.46,28.8,0,0,1.2,
Globus Spirits Ltd.,Mar '15,42.55,239.03,3299.23,-0.157349373,120.2,0.053,152.66,94.01,0,94.01,58.65,51.23,-10.31,0,4.51,7.72,0,0,0,0,0,49.31,1.98,9.4,2.6,6.8,0,6.8,3.23,3.57,0,0,3.57,28.8,0,0,1.31,
Globus Spirits Ltd.,Dec '14,67.35,239.03,3806.55,0.153769213,119.4,0.043,155.56,88.37,0,88.37,67.19,64.41,7.18,0,3.37,7.05,0,0,0,0,0,46.81,1.22,4,3.89,0.11,0,0.11,0,0.11,0,0,0.11,28.8,0,0,0.04,
Globus Spirits Ltd.,Sep '14,81.35,239.03,5835.69,0.533065374,120.1,0.056,136.49,88.85,0,88.85,47.64,42.74,-10.34,0,3.38,6.51,0,0,0,0,0,43.19,0.39,5.29,4.07,1.22,0,1.22,0,1.22,0,0,1.22,28.8,0,0,0.1,
Globus Spirits Ltd.,Jun '14,86.50,239.03,6471.05,0.108874872,116.7,0.068,140.96,80.06,0,80.06,60.9,56.02,14.15,0,3.05,7.45,0,0,0,0,0,31.37,0.76,5.64,3.5,2.14,0,2.14,0,2.14,0,0,2.14,23,0,0,0.51,
Hatsun Agro,Mar '20,393.34,9145.67,2392.98,-0.198991786,148.6,0.058,"1,266.38",867.54,1.34,868.88,397.5,357.26,39.88,0,43.16,78.07,0,0,0,0,0,196.15,-3.82,36.42,27.87,8.55,0,8.55,0.59,7.96,0,0,7.96,16.17,0,0,0.5,
Hatsun Agro,Dec '19,441.00,9145.67,4509.77,0.884583239,150.4,0.074,"1,340.18",984.81,0.21,985.02,355.16,299.58,-27.36,0,41.21,77.69,0,0,0,0,0,208.04,2.05,57.63,27.73,29.9,0,29.9,2,27.9,0,0,27.9,16.17,0,0,1.74,
Hatsun Agro,Sep '19,469.35,9145.67,4282.87,-0.050312987,145.8,0.04,"1,278.55",948.95,0.53,949.48,329.07,265.22,-51.87,0,41.79,71.94,0,0,0,0,0,203.36,1.73,65.58,25.32,40.26,0,40.26,15.02,25.24,0,0,25.24,15.98,0,0,1.58,
Hatsun Agro,Jun '19,537.64,9145.67,4149.67,-0.03110064,142.9,0.032,"1,423.22",883.67,0.61,884.28,538.94,445.02,112.68,0,41.55,68.78,0,0,0,0,0,222.01,8.69,102.61,24.93,77.68,0,77.68,26.5,51.18,0,0,51.18,15.98,0,0,3.17,
Hatsun Agro,Mar '19,528.49,11961.22,4432.04,0.068046375,140.4,0.029,"1,183.04",797.08,0.14,797.22,385.82,338.76,27.27,0,39.96,53.49,0,0,0,0,0,218.04,3.26,50.32,21.93,28.39,0,28.39,8.17,20.22,0,0,20.22,15.98,0,0,1.25,
Hatsun Agro,Dec '18,470.36,11961.22,3822.07,-0.137627368,140.1,0.021,"1,154.48",859.57,0.26,859.83,294.65,249.94,-46.19,0,38.03,49.84,0,0,0,0,0,208.26,1.59,46.3,18.56,27.74,0,27.74,9.21,18.53,0,0,18.53,15.98,0,0,1.12,
Hatsun Agro,Sep '18,522.08,11961.22,5448.55,0.425549506,140.2,0.037,"1,187.10",817.74,0.12,817.86,369.24,294.6,20.39,0,39.53,48.86,0,0,0,0,0,185.82,0.51,75.15,19.28,55.87,0,55.87,17.6,38.27,0,0,38.27,15.98,0,0,2.38,
Hatsun Agro,Jun '18,462.68,11961.22,4879.75,-0.104394747,138.5,0.049,"1,235.68",815.2,0.1,815.3,420.38,345.93,50.89,0,38.41,48.4,0,0,0,0,0,208.23,0.7,75.15,25.95,49.2,0,49.2,11.35,37.85,0,0,37.85,15.22,0,0,2.49,
Hatsun Agro,Mar '18,512.39,11517.73,4171.72,-0.145095548,136.5,0.043,"1,051.58",768.64,0.17,768.81,282.77,251.73,-11.55,0,37.23,44.58,0,0,0,0,0,181.47,2.13,33.17,25.98,7.19,0,7.19,4.71,2.48,0,0,2.48,15.22,0,0,0.16,
Hatsun Agro,Dec '17,611.15,11517.73,3930.99,-0.057705215,137.2,0.052,"1,012.94",808.18,0.54,808.72,204.22,164.54,-87.56,0,37.27,47.29,0,0,0,0,0,167.54,1.19,40.87,21.98,18.89,0,18.89,3.9,14.99,0,0,14.99,15.22,0,0,0.98,
Hatsun Agro,Sep '17,514.09,11517.73,3413.19,-0.131722543,135.2,0.033,"1,066.84",820.62,0.33,820.95,245.89,181.27,-57.96,0,36.62,40.61,0,0,0,0,0,162,2.81,67.43,19.26,48.17,0,48.17,9.95,38.22,0,0,38.22,15.22,0,0,2.51,
Hatsun Agro,Jun '17,441.07,11517.73,2975.01,-0.128378438,132,0.015,"1,168.74",786.03,0.42,786.45,382.29,319.43,55.88,0,35.55,40.47,0,0,0,0,0,187.53,2.46,65.32,20.42,44.9,0,44.9,9.7,35.2,0,0,35.2,15.22,0,0,2.31,
Hatsun Agro,Mar '17,379.52,8442.48,3355.09,0.127757554,130.9,0.039,"1,217.65",785.75,0.23,785.98,431.67,368.74,127.53,0,35.91,54.26,0,0,0,0,0,151.04,2.58,65.51,21.64,43.87,0,43.87,0.57,43.3,0,0,43.3,15.22,0,0,2.85,
Hatsun Agro,Dec '16,268.33,8442.48,3572.84,0.064901389,130.4,0.034,946.82,772.71,0.14,772.85,173.97,118.43,-109.21,0,31.39,32.31,0,0,0,0,0,163.94,0.53,56.07,17.3,38.77,0,38.77,9.95,28.82,0,0,28.82,15.22,0,0,1.89,
Hatsun Agro,Sep '16,247.06,8442.48,3006.05,-0.158638506,130.9,0.044,"1,000.32",747.03,0.13,747.16,253.16,192.47,-32.22,0,30.36,29.72,0,0,0,0,0,164.61,1.46,62.15,15.7,46.45,0,46.45,13.89,32.56,0,0,32.56,15.22,0,0,2.14,
Hatsun Agro,Jun '16,234.38,8442.48,3208.66,0.067400742,130.1,0.058,"1,034.28",691.23,0.12,691.35,342.93,287.87,65.53,0,29.21,28.62,0,0,0,0,0,164.51,0.68,55.74,15.55,40.19,0,40.19,11.12,29.07,0,0,29.07,10.87,0,0,2.67,
Hatsun Agro,Mar '16,216.63,4947.51,2503.95,-0.219627508,126,0.048,893.54,587.76,0.04,587.8,305.74,261.67,65.89,0,31.76,27.34,0,0,0,0,0,136.68,2.75,46.82,16.95,29.87,0,29.87,46.67,-16.8,0,0,-16.8,10.87,0,0,-1.54,
Hatsun Agro,Dec '15,218.83,4947.51,2435.4,-0.027376745,126.1,0.056,830.99,571.43,0.04,571.47,259.52,215.99,36.83,0,25.61,27.13,0,0,0,0,0,126.42,0.39,43.92,17.35,26.57,0,26.57,9.01,17.56,0,0,17.56,10.87,0,0,1.62,
Hatsun Agro,Sep '15,210.02,4947.51,3064.43,0.258286113,125.4,0.044,852.95,666.05,0.01,666.06,186.89,130.14,-56.66,0,25.93,26.84,0,0,0,0,0,134.03,0.67,57.42,17.86,39.56,0,39.56,8.52,31.04,0,0,31.04,10.87,0,0,2.86,
